dataset,seed,task,method,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,4,N10,0,0,7,0,0.0,-111.81475830078125,7
HK,1993,4,N10,1,4,165,0,0.0,-126.83525085449219,165
HK,1993,4,N10,2,12,41,0,0.0,-100.60924530029297,41
HK,1993,4,N10,3,8,153,0,0.0,-123.0536117553711,153
HK,1993,4,N10,4,2,182,0,0.0,-93.69893646240234,182
HK,1993,4,N10,5,11,61,0,0.0,-38.351070404052734,61
HK,1993,4,N10,6,17,5,4,80.0,8.021214485168457,5
HK,1993,4,N10,7,3,157,157,100.0,29.35736656188965,157
HK,1994,4,N10,0,22,21,0,0.0,-78.03457641601562,21
HK,1994,4,N10,1,16,8,0,0.0,-77.67378234863281,8
HK,1994,4,N10,2,12,41,1,2.4390243902439024,-14.594114303588867,41
HK,1994,4,N10,3,13,160,0,0.0,-64.26480102539062,160
HK,1994,4,N10,4,21,4,0,0.0,-12.418092727661133,4
HK,1994,4,N10,5,4,165,144,87.27272727272727,9.278376579284668,165
HK,1994,4,N10,6,19,2,0,0.0,-3.8971290588378906,2
HK,1994,4,N10,7,17,5,5,100.0,5.784422874450684,5
HK,1995,4,N10,0,9,164,0,0.0,-119.94300079345703,164
HK,1995,4,N10,1,13,160,0,0.0,-111.21663665771484,160
HK,1995,4,N10,2,16,8,0,0.0,-115.19771575927734,8
HK,1995,4,N10,3,14,60,0,0.0,-100.47138214111328,60
HK,1995,4,N10,4,15,123,0,0.0,-64.1607894897461,123
HK,1995,4,N10,5,5,1,0,0.0,-100.66768646240234,1
HK,1995,4,N10,6,12,41,41,100.0,34.97399139404297,41
HK,1995,4,N10,7,1,113,113,100.0,34.83624267578125,113
ISIC,1993,4,N10,0,4,41,0,0.0,-131.49557495117188,38
ISIC,1993,4,N10,1,0,44,0,0.0,-134.40452575683594,44
ISIC,1993,4,N10,2,3,40,0,0.0,-126.0959701538086,37
ISIC,1993,4,N10,3,7,24,0,0.0,-117.64839935302734,20
ISIC,1993,4,N10,4,5,37,0,0.0,-109.2497787475586,34
ISIC,1993,4,N10,5,6,26,0,0.0,-98.56672668457031,24
ISIC,1993,4,N10,6,2,46,40,86.95652173913044,5.880539417266846,45
ISIC,1993,4,N10,7,1,37,34,91.89189189189189,9.838817596435547,36
ISIC,1994,4,N10,0,3,40,0,0.0,-121.98030090332031,37
ISIC,1994,4,N10,1,7,24,0,0.0,-125.44854736328125,20
ISIC,1994,4,N10,2,4,41,0,0.0,-111.42340087890625,38
ISIC,1994,4,N10,3,5,37,0,0.0,-114.9137191772461,34
ISIC,1994,4,N10,4,1,37,0,0.0,-108.0531997680664,36
ISIC,1994,4,N10,5,0,44,0,0.0,-109.96831512451172,44
ISIC,1994,4,N10,6,6,26,13,50.0,0.7097632884979248,24
ISIC,1994,4,N10,7,2,46,46,100.0,24.512754440307617,45
ISIC,1995,4,N10,0,1,37,0,0.0,-131.10829162597656,36
ISIC,1995,4,N10,1,3,40,0,0.0,-137.9176025390625,37
ISIC,1995,4,N10,2,0,44,0,0.0,-126.00835418701172,44
ISIC,1995,4,N10,3,6,26,0,0.0,-118.43926239013672,24
ISIC,1995,4,N10,4,4,41,0,0.0,-126.0872573852539,38
ISIC,1995,4,N10,5,5,37,0,0.0,-127.70138549804688,34
ISIC,1995,4,N10,6,2,46,46,100.0,19.224775314331055,45
ISIC,1995,4,N10,7,7,24,12,50.0,-3.807859420776367,20
HK,1993,4,N1,0,0,7,0,0.0,-112.56645965576172,7
HK,1993,4,N1,1,4,165,0,0.0,-126.53373718261719,165
HK,1993,4,N1,2,12,41,0,0.0,-100.2352294921875,41
HK,1993,4,N1,3,8,153,0,0.0,-122.87918853759766,153
HK,1993,4,N1,4,2,182,0,0.0,-97.12875366210938,182
HK,1993,4,N1,5,11,61,0,0.0,-39.58344268798828,61
HK,1993,4,N1,6,17,5,4,80.0,7.887896537780762,5
HK,1993,4,N1,7,3,157,157,100.0,29.78275489807129,157
HK,1994,4,N1,0,22,21,0,0.0,-78.19268798828125,21
HK,1994,4,N1,1,16,8,0,0.0,-77.61170959472656,8
HK,1994,4,N1,2,12,41,1,2.4390243902439024,-14.454276084899902,41
HK,1994,4,N1,3,13,160,0,0.0,-64.26780700683594,160
HK,1994,4,N1,4,21,4,0,0.0,-12.412089347839355,4
HK,1994,4,N1,5,4,165,146,88.48484848484848,9.313041687011719,165
HK,1994,4,N1,6,19,2,0,0.0,-3.9409046173095703,2
HK,1994,4,N1,7,17,5,5,100.0,5.833268165588379,5
HK,1995,4,N1,0,9,164,0,0.0,-119.9608154296875,164
HK,1995,4,N1,1,13,160,0,0.0,-113.15107727050781,160
HK,1995,4,N1,2,16,8,0,0.0,-113.47279357910156,8
HK,1995,4,N1,3,14,60,0,0.0,-100.49119567871094,60
HK,1995,4,N1,4,15,123,0,0.0,-69.57196807861328,123
HK,1995,4,N1,5,5,1,0,0.0,-106.27374267578125,1
HK,1995,4,N1,6,12,41,41,100.0,33.77500534057617,41
HK,1995,4,N1,7,1,113,113,100.0,35.9223518371582,113
ISIC,1993,4,N1,0,4,41,0,0.0,-130.37136840820312,38
ISIC,1993,4,N1,1,0,44,0,0.0,-133.94102478027344,44
ISIC,1993,4,N1,2,3,40,0,0.0,-125.07657623291016,37
ISIC,1993,4,N1,3,7,24,0,0.0,-117.5700454711914,20
ISIC,1993,4,N1,4,5,37,0,0.0,-109.81616973876953,34
ISIC,1993,4,N1,5,6,26,0,0.0,-97.59336853027344,24
ISIC,1993,4,N1,6,2,46,40,86.95652173913044,6.190454006195068,45
ISIC,1993,4,N1,7,1,37,34,91.89189189189189,10.774117469787598,36
ISIC,1994,4,N1,0,3,40,0,0.0,-122.0687255859375,37
ISIC,1994,4,N1,1,7,24,0,0.0,-125.73712158203125,20
ISIC,1994,4,N1,2,4,41,0,0.0,-111.70369720458984,38
ISIC,1994,4,N1,3,5,37,0,0.0,-115.02349090576172,34
ISIC,1994,4,N1,4,1,37,0,0.0,-108.5896224975586,36
ISIC,1994,4,N1,5,0,44,0,0.0,-110.57437133789062,44
ISIC,1994,4,N1,6,6,26,13,50.0,0.5032263398170471,24
ISIC,1994,4,N1,7,2,46,46,100.0,24.50743865966797,45
ISIC,1995,4,N1,0,1,37,0,0.0,-131.04666137695312,36
ISIC,1995,4,N1,1,3,40,0,0.0,-138.22879028320312,37
ISIC,1995,4,N1,2,0,44,0,0.0,-125.70935821533203,44
ISIC,1995,4,N1,3,6,26,0,0.0,-118.51889038085938,24
ISIC,1995,4,N1,4,4,41,0,0.0,-126.44255828857422,38
ISIC,1995,4,N1,5,5,37,0,0.0,-127.88058471679688,34
ISIC,1995,4,N1,6,2,46,46,100.0,20.34630012512207,45
ISIC,1995,4,N1,7,7,24,10,41.666666666666664,-3.8154284954071045,20
HK,1993,4,C2,0,0,7,5,71.42857142857143,0.1540097947783061,7
HK,1993,4,C2,1,4,165,141,85.45454545454545,0.35129474601046956,165
HK,1993,4,C2,2,12,41,31,75.60975609756098,0.26153926703661184,41
HK,1993,4,C2,3,8,153,152,99.34640522875817,0.5996497055759699,153
HK,1993,4,C2,4,2,182,182,100.0,0.7695563028391805,182
HK,1993,4,C2,5,11,61,40,65.57377049180327,0.09450145714435619,61
HK,1993,4,C2,6,17,5,5,100.0,0.35183859581275934,5
HK,1993,4,C2,7,3,157,133,84.71337579617834,0.30152027071122256,157
HK,1993,4,C3,0,0,7,5,71.42857142857143,0.15300759681210327,7
HK,1993,4,C3,1,4,165,141,85.45454545454545,0.3507772791415352,165
HK,1993,4,C3,2,12,41,31,75.60975609756098,0.2615696719668268,41
HK,1993,4,C3,3,8,153,152,99.34640522875817,0.5990344933713745,153
HK,1993,4,C3,4,2,182,182,100.0,0.7690039180132449,182
HK,1993,4,C3,5,11,61,40,65.57377049180327,0.09466987429791575,61
HK,1993,4,C3,6,17,5,5,100.0,0.35232274241083344,5
HK,1993,4,C3,7,3,157,133,84.71337579617834,0.30179613093379215,157
HK,1994,4,C2,0,22,21,16,76.19047619047619,0.20757230739986116,21
HK,1994,4,C2,1,16,8,8,100.0,0.3530665119131654,8
HK,1994,4,C2,2,12,41,35,85.36585365853658,0.35372976750614377,41
HK,1994,4,C2,3,13,160,152,95.0,0.5740046740499853,160
HK,1994,4,C2,4,21,4,1,25.0,-0.1696199753251154,4
HK,1994,4,C2,5,4,165,165,100.0,0.715408330022748,165
HK,1994,4,C2,6,19,2,0,0.0,-0.23367648854007544,2
HK,1994,4,C2,7,17,5,4,80.0,0.2460234830875426,5
HK,1994,4,C3,0,22,21,16,76.19047619047619,0.20944189411584269,21
HK,1994,4,C3,1,16,8,8,100.0,0.3507033118489796,8
HK,1994,4,C3,2,12,41,35,85.36585365853658,0.3567165329335827,41
HK,1994,4,C3,3,13,160,152,95.0,0.5761141352430676,160
HK,1994,4,C3,4,21,4,1,25.0,-0.17038987777060388,4
HK,1994,4,C3,5,4,165,165,100.0,0.7198474344708043,165
HK,1994,4,C3,6,19,2,0,0.0,-0.23741676803039774,2
HK,1994,4,C3,7,17,5,4,80.0,0.2453138288365575,5
HK,1995,4,C2,0,9,164,163,99.39024390243902,0.6332953977631863,164
HK,1995,4,C2,1,13,160,154,96.25,0.6076488663950133,160
HK,1995,4,C2,2,16,8,8,100.0,0.33109464292036866,8
HK,1995,4,C2,3,14,60,60,100.0,0.48904767009707356,60
HK,1995,4,C2,4,15,123,122,99.1869918699187,0.6981018046448153,123
HK,1995,4,C2,5,5,1,0,0.0,-0.26585960658688323,1
HK,1995,4,C2,6,12,41,35,85.36585365853658,0.37714030416200633,41
HK,1995,4,C2,7,1,113,113,100.0,0.7686364063776485,113
HK,1995,4,C3,0,9,164,163,99.39024390243902,0.6267021807086738,164
HK,1995,4,C3,1,13,160,154,96.25,0.6019313511714799,160
HK,1995,4,C3,2,16,8,8,100.0,0.33024536025885676,8
HK,1995,4,C3,3,14,60,60,100.0,0.4865455933241154,60
HK,1995,4,C3,4,15,123,122,99.1869918699187,0.6983653445098689,123
HK,1995,4,C3,5,5,1,0,0.0,-0.26566630304964456,1
HK,1995,4,C3,6,12,41,35,85.36585365853658,0.37689082862486717,41
HK,1995,4,C3,7,1,113,113,100.0,0.7688686684645676,113
ISIC,1993,4,C2,0,4,41,25,60.97560975609756,0.03975385849858842,38
ISIC,1993,4,C2,1,0,44,34,77.27272727272727,0.16410205674178507,44
ISIC,1993,4,C2,2,3,40,19,47.5,0.006603665429457568,37
ISIC,1993,4,C2,3,7,24,13,54.166666666666664,0.07396084097747292,20
ISIC,1993,4,C2,4,5,37,17,45.945945945945944,0.048791679430472454,34
ISIC,1993,4,C2,5,6,26,23,88.46153846153847,0.41288753574306647,24
ISIC,1993,4,C2,6,2,46,19,41.30434782608695,-0.01169198633978419,45
ISIC,1993,4,C2,7,1,37,19,51.351351351351354,0.0791507995948051,36
ISIC,1993,4,C3,0,4,41,25,60.97560975609756,0.03864125162934412,38
ISIC,1993,4,C3,1,0,44,34,77.27272727272727,0.16401192182766489,44
ISIC,1993,4,C3,2,3,40,19,47.5,0.005632463416721718,37
ISIC,1993,4,C3,3,7,24,13,54.166666666666664,0.07507454515354156,20
ISIC,1993,4,C3,4,5,37,17,45.945945945945944,0.04957980464968673,34
ISIC,1993,4,C3,5,6,26,23,88.46153846153847,0.4129360558553375,24
ISIC,1993,4,C3,6,2,46,20,43.47826086956522,-0.01096638034760005,45
ISIC,1993,4,C3,7,1,37,20,54.054054054054056,0.07977348782788013,36
ISIC,1994,4,C2,0,3,40,13,32.5,-0.0424502501830477,37
ISIC,1994,4,C2,1,7,24,13,54.166666666666664,0.02029459775468098,20
ISIC,1994,4,C2,2,4,41,24,58.53658536585366,0.026621600844937896,38
ISIC,1994,4,C2,3,5,37,17,45.945945945945944,0.009168958099146864,34
ISIC,1994,4,C2,4,1,37,19,51.351351351351354,0.07562804514066782,36
ISIC,1994,4,C2,5,0,44,35,79.54545454545455,0.1489147629372574,44
ISIC,1994,4,C2,6,6,26,23,88.46153846153847,0.3751182665795548,24
ISIC,1994,4,C2,7,2,46,22,47.82608695652174,-0.020234780550378896,45
ISIC,1994,4,C3,0,3,40,14,35.0,-0.039698952491978204,37
ISIC,1994,4,C3,1,7,24,13,54.166666666666664,0.018534953003646052,20
ISIC,1994,4,C3,2,4,41,21,51.21951219512195,0.025800615801387657,38
ISIC,1994,4,C3,3,5,37,17,45.945945945945944,0.00899374295903912,34
ISIC,1994,4,C3,4,1,37,19,51.351351351351354,0.0748301480421065,36
ISIC,1994,4,C3,5,0,44,35,79.54545454545455,0.14726234882767836,44
ISIC,1994,4,C3,6,6,26,23,88.46153846153847,0.3731501356365551,24
ISIC,1994,4,C3,7,2,46,20,43.47826086956522,-0.021621836361804696,45
ISIC,1995,4,C2,0,1,37,21,56.75675675675676,0.08396898291293245,36
ISIC,1995,4,C2,1,3,40,18,45.0,0.010188030571679885,37
ISIC,1995,4,C2,2,0,44,36,81.81818181818181,0.14837924616706702,44
ISIC,1995,4,C2,3,6,26,24,92.3076923076923,0.3976155430944298,24
ISIC,1995,4,C2,4,4,41,24,58.53658536585366,0.03195992441884265,38
ISIC,1995,4,C2,5,5,37,19,51.351351351351354,0.013537740092386438,34
ISIC,1995,4,C2,6,2,46,22,47.82608695652174,-0.01075427577906262,45
ISIC,1995,4,C2,7,7,24,14,58.333333333333336,0.030920085157651492,20
ISIC,1995,4,C3,0,1,37,21,56.75675675675676,0.08376163887201868,36
ISIC,1995,4,C3,1,3,40,18,45.0,0.00999492344113395,37
ISIC,1995,4,C3,2,0,44,36,81.81818181818181,0.1489267975032949,44
ISIC,1995,4,C3,3,6,26,24,92.3076923076923,0.3985290190680798,24
ISIC,1995,4,C3,4,4,41,24,58.53658536585366,0.03185686198319479,38
ISIC,1995,4,C3,5,5,37,19,51.351351351351354,0.013736882433431342,34
ISIC,1995,4,C3,6,2,46,22,47.82608695652174,-0.010601081924709915,45
ISIC,1995,4,C3,7,7,24,14,58.333333333333336,0.030866926529270634,20
HK,1993,4,B1A,0,0,7,5,71.42857142857143,0.14930593419152857,7
HK,1993,4,B1A,1,4,165,141,85.45454545454545,0.35116110724536664,165
HK,1993,4,B1A,2,12,41,31,75.60975609756098,0.2647713932346651,41
HK,1993,4,B1A,3,8,153,152,99.34640522875817,0.5993791116703734,153
HK,1993,4,B1A,4,2,182,182,100.0,0.7665730267177497,182
HK,1993,4,B1A,5,11,61,40,65.57377049180327,0.0972017576498034,61
HK,1993,4,B1A,6,17,5,5,100.0,0.3535555585980842,5
HK,1993,4,B1A,7,3,157,133,84.71337579617834,0.30279936880474667,157
HK,1993,4,B1T,0,0,7,5,71.42857142857143,0.14863948948136144,7
HK,1993,4,B1T,1,4,165,141,85.45454545454545,0.3509140026290613,165
HK,1993,4,B1T,2,12,41,31,75.60975609756098,0.26534948944886244,41
HK,1993,4,B1T,3,8,153,152,99.34640522875817,0.5993511532619692,153
HK,1993,4,B1T,4,2,182,182,100.0,0.7673647897042534,182
HK,1993,4,B1T,5,11,61,40,65.57377049180327,0.09709787191994099,61
HK,1993,4,B1T,6,17,5,5,100.0,0.3536388001583736,5
HK,1993,4,B1T,7,3,157,133,84.71337579617834,0.3029173431290513,157
HK,1994,4,B1A,0,22,21,16,76.19047619047619,0.20669673506686467,21
HK,1994,4,B1A,1,16,8,8,100.0,0.34973641607005124,8
HK,1994,4,B1A,2,12,41,35,85.36585365853658,0.3558547203278312,41
HK,1994,4,B1A,3,13,160,152,95.0,0.5738794343999738,160
HK,1994,4,B1A,4,21,4,1,25.0,-0.16700414241525888,4
HK,1994,4,B1A,5,4,165,165,100.0,0.7144841904578317,165
HK,1994,4,B1A,6,19,2,0,0.0,-0.23425370890220154,2
HK,1994,4,B1A,7,17,5,4,80.0,0.2466629921887659,5
HK,1994,4,B1T,0,22,21,16,76.19047619047619,0.20886260870280682,21
HK,1994,4,B1T,1,16,8,8,100.0,0.34706046162294635,8
HK,1994,4,B1T,2,12,41,35,85.36585365853658,0.3591730335925438,41
HK,1994,4,B1T,3,13,160,152,95.0,0.5762783774496911,160
HK,1994,4,B1T,4,21,4,1,25.0,-0.16753710031675584,4
HK,1994,4,B1T,5,4,165,165,100.0,0.7194308863266914,165
HK,1994,4,B1T,6,19,2,0,0.0,-0.2387329150067826,2
HK,1994,4,B1T,7,17,5,4,80.0,0.24586432626438937,5
HK,1995,4,B1A,0,9,164,163,99.39024390243902,0.6272307465659539,164
HK,1995,4,B1A,1,13,160,154,96.25,0.5999672566781964,160
HK,1995,4,B1A,2,16,8,8,100.0,0.32435382003035873,8
HK,1995,4,B1A,3,14,60,60,100.0,0.47935946039897404,60
HK,1995,4,B1A,4,15,123,122,99.1869918699187,0.7086579837771619,123
HK,1995,4,B1A,5,5,1,0,0.0,-0.2472471702634751,1
HK,1995,4,B1A,6,12,41,35,85.36585365853658,0.37677861781311184,41
HK,1995,4,B1A,7,1,113,113,100.0,0.7704617164893486,113
HK,1995,4,B1T,0,9,164,163,99.39024390243902,0.618977221440379,164
HK,1995,4,B1T,1,13,160,154,96.25,0.5921224784196666,160
HK,1995,4,B1T,2,16,8,8,100.0,0.31742098016027503,8
HK,1995,4,B1T,3,14,60,60,100.0,0.4752074997960926,60
HK,1995,4,B1T,4,15,123,122,99.1869918699187,0.7059069256656054,123
HK,1995,4,B1T,5,5,1,0,0.0,-0.24567844739544575,1
HK,1995,4,B1T,6,12,41,35,85.36585365853658,0.3788661830876995,41
HK,1995,4,B1T,7,1,113,113,100.0,0.7711480466129473,113
ISIC,1993,4,B1A,0,4,41,25,60.97560975609756,0.03978672716729503,38
ISIC,1993,4,B1A,1,0,44,35,79.54545454545455,0.16089857342268457,44
ISIC,1993,4,B1A,2,3,40,20,50.0,0.00904993166161038,37
ISIC,1993,4,B1A,3,7,24,13,54.166666666666664,0.07923978996051094,20
ISIC,1993,4,B1A,4,5,37,17,45.945945945945944,0.04991658760196135,34
ISIC,1993,4,B1A,5,6,26,23,88.46153846153847,0.42317141397685,24
ISIC,1993,4,B1A,6,2,46,22,47.82608695652174,-0.001044788313024517,45
ISIC,1993,4,B1A,7,1,37,21,56.75675675675676,0.09063372934896602,36
ISIC,1993,4,B1T,0,4,41,25,60.97560975609756,0.0384489014931885,38
ISIC,1993,4,B1T,1,0,44,35,79.54545454545455,0.16006051167004626,44
ISIC,1993,4,B1T,2,3,40,20,50.0,0.007912735056541798,37
ISIC,1993,4,B1T,3,7,24,13,54.166666666666664,0.08083307490822761,20
ISIC,1993,4,B1T,4,5,37,17,45.945945945945944,0.05045697131997272,34
ISIC,1993,4,B1T,5,6,26,23,88.46153846153847,0.4246101649981208,24
ISIC,1993,4,B1T,6,2,46,22,47.82608695652174,0.00019925028996491906,45
ISIC,1993,4,B1T,7,1,37,21,56.75675675675676,0.09187916837944178,36
ISIC,1994,4,B1A,0,3,40,13,32.5,-0.04290986321821997,37
ISIC,1994,4,B1A,1,7,24,13,54.166666666666664,0.02123765964312706,20
ISIC,1994,4,B1A,2,4,41,22,53.65853658536585,0.0246814629999426,38
ISIC,1994,4,B1A,3,5,37,17,45.945945945945944,0.007616050343171289,34
ISIC,1994,4,B1A,4,1,37,18,48.648648648648646,0.06909335102593793,36
ISIC,1994,4,B1A,5,0,44,35,79.54545454545455,0.14725247106868153,44
ISIC,1994,4,B1A,6,6,26,23,88.46153846153847,0.3778135988571786,24
ISIC,1994,4,B1A,7,2,46,22,47.82608695652174,-0.014322471935783886,45
ISIC,1994,4,B1T,0,3,40,13,32.5,-0.04030471318925978,37
ISIC,1994,4,B1T,1,7,24,13,54.166666666666664,0.019727393315970038,20
ISIC,1994,4,B1T,2,4,41,21,51.21951219512195,0.023673567733848117,38
ISIC,1994,4,B1T,3,5,37,17,45.945945945945944,0.007377875854858976,34
ISIC,1994,4,B1T,4,1,37,18,48.648648648648646,0.06810119941163724,36
ISIC,1994,4,B1T,5,0,44,35,79.54545454545455,0.14528046097253436,44
ISIC,1994,4,B1T,6,6,26,23,88.46153846153847,0.37546827071988026,24
ISIC,1994,4,B1T,7,2,46,24,52.17391304347826,-0.015164378667042481,45
ISIC,1995,4,B1A,0,1,37,21,56.75675675675676,0.08403837330716217,36
ISIC,1995,4,B1A,1,3,40,18,45.0,0.006745985800367171,37
ISIC,1995,4,B1A,2,0,44,36,81.81818181818181,0.14735858300849441,44
ISIC,1995,4,B1A,3,6,26,24,92.3076923076923,0.3958306094952345,24
ISIC,1995,4,B1A,4,4,41,23,56.09756097560975,0.031260194161453383,38
ISIC,1995,4,B1A,5,5,37,19,51.351351351351354,0.013713259081600662,34
ISIC,1995,4,B1A,6,2,46,22,47.82608695652174,-0.008331944061880026,45
ISIC,1995,4,B1A,7,7,24,14,58.333333333333336,0.029898003172928966,20
ISIC,1995,4,B1T,0,1,37,21,56.75675675675676,0.08353500893690947,36
ISIC,1995,4,B1T,1,3,40,18,45.0,0.006766823677070254,37
ISIC,1995,4,B1T,2,0,44,36,81.81818181818181,0.14795551337436566,44
ISIC,1995,4,B1T,3,6,26,24,92.3076923076923,0.3970258249641433,24
ISIC,1995,4,B1T,4,4,41,23,56.09756097560975,0.031037055549881905,38
ISIC,1995,4,B1T,5,5,37,19,51.351351351351354,0.01380136238749306,34
ISIC,1995,4,B1T,6,2,46,22,47.82608695652174,-0.008053343610383542,45
ISIC,1995,4,B1T,7,7,24,14,58.333333333333336,0.029802371827064217,20
